t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05,2.98884,0.22459,0.01,0,0.000100021,0.025,0.2,0.5
0.1,2.99862,0.22607,0.03,2.00042e-06,0.000500355,0.05,0.4,0.5
0.15,3.01817,0.229045,0.06,1.70111e-05,0.00132968,0.0690008,0.6,0.380016
0.2,3.04748,0.233542,0.1,7.01983e-05,0.00266933,0.0835331,0.8,0.290645
0.25,3.08656,0.239606,0.15,0.000203664,0.00456935,0.0947171,1,0.22368
0.3,3.13538,0.247294,0.209999,0.000477825,0.00705923,0.103375,1.2,0.173158
0.35,3.19393,0.256678,0.279997,0.000971967,0.0101549,0.110113,1.4,0.134768
0.4,3.26221,0.267844,0.359993,0.00178435,0.0138636,0.115382,1.6,0.105376
0.45,3.34018,0.280893,0.449985,0.00303203,0.0181868,0.119517,1.8,0.0826914
0.5,3.91933,0.387787,0.549968,0.00485062,0.0231091,0.122441,2,0.0584825
0.55,4.5043,0.513818,0.659939,0.00739239,0.0286143,0.124472,2.2,0.0406156
0.6,4.60919,0.538361,0.77989,0.0108256,0.0346971,0.126053,2.4,0.0316339
0.65,5.2078,0.68993,0.909811,0.0153354,0.0413402,0.127063,2.6,0.0201913
0.7,5.81016,0.86255,1.04969,0.0211213,0.0485284,0.127663,2.8,0.0120103
0.75,6.41526,1.05681,1.19952,0.0283977,0.0562491,0.127975,3,0.00623072
0.8,6.55171,1.10357,1.35926,0.0373929,0.0644996,0.128206,3.2,0.00462318
0.85,7.16592,1.32784,1.52891,0.0483502,0.0732687,0.128249,3.4,0.000864303
0.9,7.78023,1.57534,1.70843,0.0615267,0.0825476,0.128167,3.6,-0.00164162
0.95,8.39345,1.84649,1.89778,0.077193,0.0923295,0.128005,3.8,-0.00323728
1,8.55509,1.9221,2.09693,0.0956326,0.102615,0.127871,4,-0.0026954
1.05,9.17171,2.227,2.30582,0.117144,0.113399,0.127681,4.2,-0.00380206
1.1,9.78412,2.55662,2.52441,0.142038,0.124677,0.127459,4.4,-0.00442175
1.15,10.3909,2.91118,2.75262,0.17064,0.136445,0.127226,4.6,-0.00467465
