x,y
197.5,-36.1594
198,-36.5029
198.5,-36.8428
199,-37.179
199.5,-37.5114
200,-37.8401
200.5,-38.165
201,-38.4862
201.5,-38.8034
202,-39.1168
202.5,-39.4263
203,-39.7318
203.5,-40.0333
204,-40.3309
204.5,-40.6244
205,-40.9139
205.5,-41.1992
206,-41.4805
206.5,-41.7576
207,-42.0305
207.5,-42.2992
208,-42.5637
208.5,-42.8239
209,-43.0798
209.5,-43.3315
210,-43.5788
210.5,-43.8217
211,-44.0603
211.5,-44.2945
212,-44.5242
212.5,-44.7495
213,-44.9703
213.5,-45.1866
214,-45.3984
214.5,-45.6056
215,-45.8083
215.5,-46.0064
216,-46.1999
216.5,-46.3888
217,-46.573
217.5,-46.7526
218,-46.9275
218.5,-47.0978
219,-47.2633
219.5,-47.4241
220,-47.5801
220.5,-47.7314
221,-47.8779
221.5,-48.0196
222,-48.1565
222.5,-48.2887
223,-48.4159
223.5,-48.5384
224,-48.6559
224.5,-48.7687
225,-48.8765
225.5,-48.9795
226,-49.0775
226.5,-49.1707
227,-49.2589
227.5,-49.3422
228,-49.4206
228.5,-49.494
229,-49.5625
229.5,-49.626
230,-49.6846
230.5,-49.7381
231,-49.7868
231.5,-49.8304
232,-49.8691
232.5,-49.9027
233,-49.9314
233.5,-49.9551
234,-49.9738
234.5,-49.9875
235,-49.9962
235.5,-49.9999
236,-49.9986
236.5,-49.9922
237,-49.9809
237.5,-49.9646
238,-49.9433
238.5,-49.917
239,-49.8858
239.5,-49.8495
240,-49.8082
240.5,-49.762
241,-49.7108
241.5,-49.6546
242,-49.5934
242.5,-49.5273
243,-49.4563
243.5,-49.3803
244,-49.2993
244.5,-49.2134
245,-49.1226
245.5,-49.0269
246,-48.9263
246.5,-48.8208
247,-48.7104
247.5,-48.5952
248,-48.475
248.5,-48.3501
249,-48.2203
249.5,-48.0856
250,-47.9462
250.5,-47.802
251,-47.653
251.5,-47.4992
252,-47.3407
252.5,-47.1774
253,-47.0095
253.5,-46.8368
254,-46.6594
254.5,-46.4774
255,-46.2907
255.5,-46.0994
256,-45.9035
256.5,-45.703
257,-45.498
257.5,-45.2883
258,-45.0742
258.5,-44.8555
259,-44.6324
259.5,-44.4048
260,-44.1727
260.5,-43.9363
261,-43.6954
261.5,-43.4502
262,-43.2006
262.5,-42.9467
263,-42.6885
263.5,-42.4261
264,-42.1594
264.5,-41.8885
265,-41.6134
265.5,-41.3341
266,-41.0507
266.5,-40.7632
267,-40.4716
267.5,-40.176
268,-39.8764
268.5,-39.5727
269,-39.2651
269.5,-38.9536
270,-38.6382
270.5,-38.319
271,-37.9958
271.5,-37.6689
272,-37.3383
272.5,-37.0039
273,-36.6658
273.5,-36.324
274,-35.9786
274.5,-35.6296
275,-35.277
275.5,-34.9209
276,-34.5613
276.5,-34.1983
277,-33.8318
277.5,-33.462
278,-33.0888
278.5,-32.7123
279,-32.3325
279.5,-31.9495
280,-31.5633
280.5,-31.174
281,-30.7815
281.5,-30.386
282,-29.9874
282.5,-29.5858
283,-29.1812
283.5,-28.7738
284,-28.3634
284.5,-27.9502
285,-27.5343
285.5,-27.1156
286,-26.6941
286.5,-26.27
287,-25.8433
287.5,-25.414
288,-24.9821
288.5,-24.5477
289,-24.1109
289.5,-23.6717
290,-23.2301
290.5,-22.7862
291,-22.34
291.5,-21.8916
292,-21.441
292.5,-20.9882
293,-20.5333
293.5,-20.0764
294,-19.6175
294.5,-19.1566
295,-18.6938
295.5,-18.2292
296,-17.7627
296.5,-17.2944
297,-16.8244
297.5,-16.3527
298,-15.8794
298.5,-15.4045
299,-14.9281
299.5,-14.4502
300,-13.9708
300.5,-13.49
301,-13.0079
301.5,-12.5244
302,-12.0398
302.5,-11.5539
303,-11.0669
303.5,-10.5787
304,-10.0895
304.5,-9.5993
305,-9.10813
305.5,-8.61604
306,-8.1231
306.5,-7.62935
307,-7.13483
307.5,-6.6396
308,-6.1437
308.5,-5.64719
309,-5.15011
309.5,-4.65253
310,-4.15447
310.5,-3.656
311,-3.15716
311.5,-2.65801
312,-2.15859
312.5,-1.65896
313,-1.15916
313.5,-0.659246
314,-0.159265
314.5,0.340732
315,0.840695
315.5,1.34057
316,1.84032
316.5,2.33988
317,2.83921
317.5,3.33825
318,3.83696
318.5,4.33528
319,4.83318
319.5,5.33058
320,5.82746
320.5,6.32375
321,6.81941
321.5,7.31439
322,7.80864
322.5,8.30211
323,8.79474
323.5,9.2865
324,9.77733
324.5,10.2672
325,10.756
325.5,11.2437
326,11.7304
326.5,12.2158
327,12.7001
327.5,13.183
328,13.6646
328.5,14.1449
329,14.6238
329.5,15.1012
330,15.5771
330.5,16.0514
331,16.5241
331.5,16.9952
332,17.4646
