x,y
0,0
0.499997,0.00156249
0.999974,0.00624992
1.49991,0.0140621
1.99979,0.0249987
2.49959,0.0390593
2.9993,0.0562434
3.49888,0.0765503
3.99833,0.0999792
4.49763,0.126529
4.99675,0.156199
5.49567,0.188988
5.99438,0.224895
6.49285,0.263917
6.99107,0.306055
7.48902,0.351305
7.98667,0.399667
8.48402,0.451138
8.98103,0.505716
9.47769,0.5634
9.97398,0.624187
10.4699,0.688074
10.9654,0.755059
11.4604,0.82514
11.9551,0.898314
12.4492,0.974577
12.9429,1.05393
13.436,1.13636
13.9287,1.22188
14.4207,1.31047
14.9123,1.40213
15.4032,1.49687
15.8935,1.59467
16.3833,1.69554
16.8723,1.79946
17.3608,1.90644
17.8485,2.01647
18.3356,2.12955
18.8219,2.24566
19.3075,2.36482
19.7923,2.48701
20.2764,2.61222
20.7597,2.74046
21.2421,2.87172
21.7238,3.00598
22.2045,3.14326
22.6845,3.28354
23.1635,3.42681
23.6416,3.57308
24.1188,3.72233
24.5951,3.87456
25.0704,4.02977
25.5447,4.18794
26.018,4.34908
26.4903,4.51317
26.9616,4.6802
27.4318,4.85018
27.901,5.0231
28.369,5.19894
28.836,5.37771
29.3018,5.55939
29.7665,5.74398
30.23,5.93147
30.6923,6.12185
31.1535,6.31512
31.6134,6.51127
32.0721,6.71029
32.5295,6.91217
32.9857,7.1169
33.4405,7.32448
33.8941,7.53491
34.3463,7.74816
34.7972,7.96423
35.2468,8.18312
35.6949,8.40481
36.1417,8.6293
36.5871,8.85658
37.031,9.08664
37.4735,9.31947
37.9145,9.55506
38.354,9.7934
38.7921,10.0345
39.2286,10.2783
39.6636,10.5248
40.097,10.7741
40.5289,11.026
40.9592,11.2807
41.3879,11.538
41.815,11.798
42.2404,12.0607
42.6642,12.326
43.0863,12.594
43.5068,12.8646
43.9255,13.1378
44.3426,13.4137
44.7579,13.6921
45.1714,13.9732
45.5832,14.2568
45.9932,14.5429
46.4014,14.8317
46.8078,15.123
47.2123,15.4168
47.6151,15.7131
48.0159,16.0119
48.4149,16.3133
48.812,16.6171
49.2072,16.9234
49.6005,17.2322
49.9918,17.5434
50.3812,17.8571
50.7686,18.1732
51.154,18.4917
51.5374,18.8126
51.9188,19.1359
52.2982,19.4616
52.6756,19.7897
53.0508,20.12
53.424,20.4528
53.7952,20.7878
54.1642,21.1252
54.5311,21.4649
54.8959,21.8069
55.2585,22.1511
55.619,22.4976
55.9773,22.8463
56.3334,23.1973
56.6873,23.5505
57.039,23.9059
57.3885,24.2635
57.7357,24.6232
58.0807,24.9852
58.4234,25.3492
58.7638,25.7154
59.102,26.0838
59.4378,26.4542
59.7713,26.8267
60.1024,27.2013
60.4312,27.578
60.7577,27.9567
61.0818,28.3375
61.4035,28.7203
61.7228,29.105
62.0397,29.4918
62.3541,29.8805
62.6662,30.2712
62.9757,30.6638
63.2829,31.0584
63.5875,31.4549
63.8897,31.8532
64.1893,32.2535
64.4865,32.6556
64.7811,33.0596
65.0732,33.4654
65.3628,33.873
65.6498,34.2824
65.9343,34.6936
66.2162,35.1066
66.4954,35.5213
66.7721,35.9377
67.0462,36.3559
67.3177,36.7758
67.5865,37.1974
67.8527,37.6206
68.1163,38.0455
68.3771,38.4721
68.6353,38.9003
68.8909,39.33
69.1437,39.7614
69.3939,40.1943
69.6413,40.6288
69.886,41.0648
70.128,41.5024
70.3672,41.9414
70.6037,42.382
70.8374,42.824
71.0684,43.2674
71.2966,43.7123
71.522,44.1586
71.7446,44.6063
71.9644,45.0554
72.1814,45.5059
72.3956,45.9577
72.6069,46.4108
72.8154,46.8653
73.0211,47.321
73.2239,47.778
73.4239,48.2363
73.621,48.6958
73.8152,49.1566
74.0065,49.6185
74.195,50.0816
74.3805,50.5459
74.5631,51.0114
74.7428,51.478
74.9197,51.9457
75.0935,52.4145
75.2645,52.8843
75.4325,53.3553
75.5975,53.8272
75.7596,54.3002
75.9188,54.7742
76.0749,55.2492
76.2282,55.7251
76.3784,56.202
76.5256,56.6799
76.6699,57.1586
76.8111,57.6382
76.9494,58.1187
77.0847,58.6001
77.2169,59.0823
77.3461,59.5653
77.4723,60.0491
77.5955,60.5337
77.7157,61.019
77.8328,61.5051
77.9468,61.9919
78.0579,62.4795
78.1658,62.9677
78.2708,63.4565
78.3726,63.946
78.4714,64.4362
78.5672,64.9269
78.6599,65.4183
78.7495,65.9102
78.836,66.4026
78.9194,66.8956
78.9998,67.3891
79.0771,67.8831
79.1512,68.3776
79.2223,68.8725
79.2903,69.3678
79.3552,69.8636
79.417,70.3598
79.4757,70.8563
79.5313,71.3532
79.5838,71.8505
79.6332,72.348
79.6795,72.8459
79.7226,73.344
79.7627,73.8424
79.7996,74.341
79.8334,74.8399
79.8641,75.3389
79.8917,75.8382
79.9161,76.3376
79.9375,76.8371
79.9557,77.3368
79.9707,77.8366
79.9827,78.3364
79.9915,78.8363
79.9972,79.3363
79.9998,79.8363
79.9993,80.3363
79.9956,80.8363
79.9888,81.3362
79.9789,81.8361
79.9659,82.336
79.9497,82.8357
79.9304,83.3353
79.908,83.8348
79.8825,84.3342
79.8539,84.8333
79.8221,85.3323
79.7872,85.8311
79.7492,86.3297
79.7081,86.828
79.6639,87.326
79.6165,87.8238
79.5661,88.3212
79.5125,88.8183
79.4558,89.3151
79.3961,89.8115
79.3332,90.3076
79.2672,90.8032
79.1981,91.2984
79.126,91.7932
79.0507,92.2875
78.9724,92.7813
78.891,93.2746
78.8065,93.7674
78.7189,94.2597
78.6282,94.7514
78.5345,95.2425
78.4377,95.7331
78.3378,96.223
78.2349,96.7123
78.1289,97.2009
78.0199,97.6889
77.9078,98.1762
77.7927,98.6627
77.6745,99.1486
77.5533,99.6337
77.4291,100.118
77.3019,100.602
77.1716,101.084
77.0383,101.566
76.902,102.047
76.7627,102.527
76.6204,103.007
76.4751,103.485
76.3269,103.963
76.1756,104.439
76.0214,104.915
75.8642,105.39
75.704,105.863
75.5409,106.336
75.3748,106.807
75.2058,107.278
75.0338,107.747
74.859,108.216
74.6811,108.683
74.5004,109.149
74.3168,109.614
74.1302,110.078
73.9408,110.541
73.7485,111.003
73.5533,111.463
73.3552,111.922
73.1542,112.38
72.9504,112.836
72.7438,113.292
72.5343,113.746
72.322,114.198
72.1068,114.65
71.8889,115.1
71.6681,115.548
71.4445,115.996
71.2181,116.441
70.989,116.886
70.7571,117.329
70.5224,117.77
70.2849,118.21
70.0448,118.649
69.8018,119.086
69.5562,119.521
69.3078,119.955
69.0567,120.388
68.803,120.819
68.5465,121.248
68.2874,121.675
68.0256,122.101
67.7611,122.526
67.494,122.948
67.2243,123.369
66.9519,123.789
66.6769,124.206
66.3993,124.622
66.1191,125.036
65.8364,125.449
65.551,125.859
65.2631,126.268
64.9727,126.675
64.6797,127.08
64.3842,127.483
64.0862,127.885
63.7856,128.284
63.4826,128.682
63.1771,129.078
62.8692,129.472
62.5587,129.864
62.2459,130.254
61.9306,130.642
61.6128,131.028
61.2927,131.412
60.9702,131.794
60.6453,132.174
60.318,132.552
59.9884,132.928
59.6564,133.302
59.3221,133.674
58.9855,134.044
58.6466,134.411
58.3054,134.777
57.9619,135.14
57.6161,135.501
57.2681,135.86
56.9179,136.217
56.5654,136.572
56.2107,136.924
55.8539,137.274
55.4948,137.622
55.1336,137.968
54.7702,138.311
54.4047,138.653
54.0371,138.991
53.6673,139.328
53.2955,139.662
52.9215,139.994
52.5455,140.324
52.1675,140.651
51.7874,140.976
51.4053,141.298
51.0212,141.619
50.6351,141.936
50.247,142.251
49.8569,142.564
49.4649,142.875
49.071,143.183
48.6752,143.488
48.2774,143.791
