x,y
0,0
0.5,0.124987
1,0.249896
1.5,0.374649
2,0.499167
2.5,0.623374
3,0.747191
3.5,0.870541
4,0.993347
4.5,1.11553
5,1.23702
5.5,1.35773
6,1.4776
6.5,1.59654
7,1.71449
7.5,1.83136
8,1.94709
8.5,2.0616
9,2.17483
9.5,2.28669
10,2.39713
10.5,2.50607
11,2.61344
11.5,2.71917
12,2.82321
12.5,2.92549
13,3.02593
13.5,3.12449
14,3.22109
14.5,3.31568
15,3.40819
15.5,3.49858
16,3.58678
16.5,3.67274
17,3.7564
17.5,3.83772
18,3.91663
18.5,3.9931
19,4.06708
19.5,4.13851
20,4.20735
20.5,4.27357
21,4.33712
21.5,4.39795
22,4.45604
22.5,4.51134
23,4.56382
23.5,4.61345
24,4.6602
24.5,4.70403
25,4.74492
25.5,4.78285
26,4.81779
26.5,4.84972
27,4.87862
27.5,4.90447
28,4.92725
28.5,4.94695
29,4.96356
29.5,4.97708
30,4.98747
30.5,4.99476
31,4.99892
31.5,4.99996
32,4.99787
32.5,4.99266
33,4.98433
33.5,4.97288
34,4.95832
34.5,4.94067
35,4.91993
35.5,4.89611
36,4.86924
36.5,4.83932
37,4.80638
37.5,4.77043
38,4.7315
38.5,4.68961
39,4.6448
39.5,4.59708
40,4.54649
40.5,4.49305
41,4.43681
41.5,4.3778
42,4.31605
42.5,4.2516
43,4.18449
43.5,4.11477
44,4.04248
44.5,3.96766
45,3.89037
45.5,3.81064
46,3.72853
46.5,3.64409
47,3.55737
47.5,3.46843
48,3.37732
48.5,3.2841
49,3.18882
49.5,3.09156
50,2.99236
50.5,2.89129
51,2.78842
51.5,2.6838
52,2.57751
52.5,2.4696
53,2.36015
53.5,2.24923
54,2.1369
54.5,2.02323
55,1.9083
55.5,1.79218
56,1.67494
56.5,1.55665
57,1.43739
57.5,1.31723
58,1.19625
58.5,1.07452
59,0.952113
59.5,0.829116
60,0.7056
60.5,0.581643
61,0.457323
61.5,0.332717
62,0.207903
62.5,0.0829595
63,-0.0420362
63.5,-0.167006
64,-0.291871
64.5,-0.416553
65,-0.540976
65.5,-0.66506
66,-0.788728
66.5,-0.911904
67,-1.03451
67.5,-1.15647
68,-1.27771
68.5,-1.39814
69,-1.51771
69.5,-1.63632
70,-1.75392
70.5,-1.87041
71,-1.98574
71.5,-2.09983
72,-2.2126
72.5,-2.32399
73,-2.43393
73.5,-2.54235
74,-2.64918
74.5,-2.75435
75,-2.85781
75.5,-2.95947
76,-3.05929
76.5,-3.15719
77,-3.25313
77.5,-3.34702
78,-3.43883
78.5,-3.52849
79,-3.61594
79.5,-3.70113
80,-3.78401
80.5,-3.86453
81,-3.94263
81.5,-4.01826
82,-4.09139
82.5,-4.16195
83,-4.22992
83.5,-4.29524
84,-4.35788
84.5,-4.41779
85,-4.47495
85.5,-4.5293
86,-4.58083
86.5,-4.62949
87,-4.67526
87.5,-4.71811
88,-4.75801
88.5,-4.79494
89,-4.82887
89.5,-4.85978
90,-4.88765
90.5,-4.91247
91,-4.93422
91.5,-4.95288
92,-4.96846
92.5,-4.98092
93,-4.99027
93.5,-4.99651
94,-4.99962
94.5,-4.9996
95,-4.99646
95.5,-4.9902
96,-4.98082
96.5,-4.96833
97,-4.95273
97.5,-4.93404
98,-4.91226
98.5,-4.88742
99,-4.85952
99.5,-4.82858
100,-4.79462
100.5,-4.75767
101,-4.71774
101.5,-4.67487
102,-4.62907
102.5,-4.58038
103,-4.52883
103.5,-4.47445
104,-4.41727
104.5,-4.35733
105,-4.29467
105.5,-4.22933
106,-4.16134
106.5,-4.09075
107,-4.0176
107.5,-3.94194
108,-3.86382
108.5,-3.78329
109,-3.70039
109.5,-3.61517
110,-3.5277
110.5,-3.43802
111,-3.3462
111.5,-3.25228
112,-3.15633
112.5,-3.05841
113,-2.95858
113.5,-2.8569
114,-2.75343
114.5,-2.64824
115,-2.5414
115.5,-2.43296
116,-2.32301
116.5,-2.21161
117,-2.09882
117.5,-1.98472
118,-1.86938
118.5,-1.75288
119,-1.63527
119.5,-1.51665
120,-1.39708
120.5,-1.27663
121,-1.15539
121.5,-1.03342
122,-0.910813
122.5,-0.787632
123,-0.66396
123.5,-0.539872
124,-0.415447
124.5,-0.290762
125,-0.165896
125.5,-0.0409261
126,0.0840695
126.5,0.209013
127,0.333825
127.5,0.458429
128,0.582746
128.5,0.706699
129,0.830211
129.5,0.953203
130,1.0756
130.5,1.19732
131,1.3183
131.5,1.43845
132,1.55771
132.5,1.67599
133,1.79322
133.5,1.90933
134,2.02425
134.5,2.1379
135,2.25022
135.5,2.36113
136,2.47057
136.5,2.57846
137,2.68474
137.5,2.78934
138,2.8922
