t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.01, 9.02107e-06, 3.60843e-06, 0.000902107, 0.2, 0.0180421
0.1, 0.01, 1.80475e-05, 0.03, 3.61863e-05, 1.44457e-05, 0.00135466, 0.4, 0.00905098
0.15, 0.03, 5.42692e-05, 0.0599999, 8.41233e-05, 3.34471e-05, 0.00158345, 0.6, 0.00457596
0.2, 0.0600001, 0.000109394, 0.0999999, 0.000153881, 6.08151e-05, 0.0017105, 0.8, 0.0025409
0.25, 0.1, 0.000185705, 0.15, 0.000247497, 9.7045e-05, 0.0018115, 1, 0.00202001
0.3, 0.15, 0.000288463, 0.21, 0.000369939, 0.000143693, 0.00194366, 1.2, 0.00264328
0.35, 0.21, 0.000427812, 0.279999, 0.00053114, 0.00020415, 0.00215918, 1.4, 0.00431042
0.4, 0.28, 0.000621155, 0.359999, 0.000748403, 0.000284522, 0.00251163, 1.6, 0.00704899
0.45, 0.359999, 0.000896006, 0.449999, 0.0010493, 0.000394637, 0.00305874, 1.8, 0.0109422
0.5, 0.449998, 0.00129332, 0.549998, 0.00147509, 0.000549169, 0.00386331, 2, 0.0160914
0.55, 0.549997, 0.00187045, 0.659996, 0.00208196, 0.000767755, 0.00496789, 2.2, 0.0220915
0.6, 0.659993, 0.00268221, 0.779993, 0.00292393, 0.00106769, 0.00624868, 2.4, 0.025616
0.65, 0.779989, 0.00376733, 0.909988, 0.00404997, 0.00146259, 0.00759424, 2.6, 0.0269111
0.7, 0.909982, 0.00516132, 1.04998, 0.00550427, 0.00196241, 0.0089255, 2.8, 0.0266252
0.75, 1.04997, 0.00689595, 1.19997, 0.00732668, 0.00257363, 0.0101873, 3, 0.0252353
0.8, 1.19996, 0.00901087, 1.35995, 0.00956534, 0.0033044, 0.0114185, 3.2, 0.0246241
0.85, 1.35994, 0.011566, 1.52993, 0.0122796, 0.00416541, 0.0126623, 3.4, 0.0248767
0.9, 1.52991, 0.0146293, 1.7099, 0.0155384, 0.00516909, 0.0139404, 3.6, 0.025561
0.95, 1.70987, 0.0182721, 1.89986, 0.0194146, 0.00632677, 0.0152332, 3.8, 0.0258574
1, 1.89982, 0.0225604, 2.09981, 0.0239814, 0.00764746, 0.0165094, 4, 0.0255228
1.05, 2.09976, 0.0275617, 2.30974, 0.029314, 0.00913824, 0.0177483, 4.2, 0.0247795
1.1, 2.30968, 0.0333491, 2.52966, 0.0354919, 0.0108055, 0.0189471, 4.4, 0.0239747
1.15, 2.52958, 0.0400024, 2.75955, 0.0425998, 0.0126549, 0.0201032, 4.6, 0.0231234
1.2, 2.75946, 0.0476052, 2.99941, 0.0507259, 0.0146909, 0.0212103, 4.8, 0.0221414
1.25, 2.9993, 0.0562434, 3.24924, 0.0599617, 0.0169168, 0.0222609, 5, 0.0210116
1.3, 3.24911, 0.0660068, 3.50903, 0.0704023, 0.0193346, 0.02325, 5.2, 0.0197822
1.35, 3.50888, 0.0769886, 3.77877, 0.0821461, 0.0219452, 0.0241746, 5.4, 0.0184911
1.4, 3.7786, 0.0892864, 4.05846, 0.0952949, 0.0247485, 0.0250324, 5.6, 0.017157
1.45, 4.05826, 0.103001, 4.34809, 0.109954, 0.0277436, 0.0258224, 5.8, 0.0157996
1.5, 4.34786, 0.118237, 4.64765, 0.126233, 0.0309286, 0.026545, 6, 0.0144512
1.55, 4.64739, 0.135103, 4.95713, 0.144243, 0.0343012, 0.0272014, 6.2, 0.0131299
1.6, 4.95683, 0.153711, 5.27651, 0.1641, 0.0378582, 0.0277933, 6.4, 0.0118365
1.65, 5.27617, 0.174177, 5.60579, 0.185924, 0.0415963, 0.0283227, 6.6, 0.0105878
1.7, 5.60541, 0.196621, 5.94495, 0.209837, 0.0455116, 0.0287926, 6.8, 0.0093986
1.75, 5.94452, 0.221164, 6.29397, 0.235963, 0.0495998, 0.0292056, 7, 0.00826026
1.8, 6.2935, 0.247935, 6.65284, 0.264433, 0.0538567, 0.0295661, 7.2, 0.00721013
