t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.00999993, 3.60858e-05, 1.44343e-05, 0.00360859, 0.2, 0.0721717
0.1, 0.0100002, 7.21955e-05, 0.0299996, 0.000144751, 5.7785e-05, 0.00541886, 0.4, 0.0362055
0.15, 0.0300007, 0.000217094, 0.059999, 0.000336506, 0.000133794, 0.00633409, 0.6, 0.0183046
0.2, 0.0600014, 0.000437612, 0.0999981, 0.000615547, 0.000243269, 0.00684228, 0.8, 0.0101638
0.25, 0.100002, 0.000742878, 0.149997, 0.000990021, 0.000388194, 0.00724628, 1, 0.0080799
0.3, 0.150002, 0.00115394, 0.209995, 0.0014798, 0.00057479, 0.00777491, 1.2, 0.0105727
0.35, 0.210001, 0.00171135, 0.279992, 0.00212462, 0.000816622, 0.00863698, 1.4, 0.0172412
0.4, 0.279998, 0.00248474, 0.359987, 0.00299367, 0.00113811, 0.0100468, 1.6, 0.028196
0.45, 0.35999, 0.00358412, 0.449979, 0.00419724, 0.00157857, 0.0122353, 1.8, 0.0437706
0.5, 0.449973, 0.00517331, 0.549964, 0.0059004, 0.0021967, 0.0154538, 2, 0.06437
0.55, 0.549944, 0.00748171, 0.659938, 0.0083278, 0.00307103, 0.0198724, 2.2, 0.0883713
0.6, 0.659896, 0.0107284, 0.77989, 0.0116954, 0.00427069, 0.0249956, 2.4, 0.102465
0.65, 0.779819, 0.0150682, 0.909812, 0.0161987, 0.00585008, 0.0303776, 2.6, 0.10764
0.7, 0.909705, 0.0206428, 1.04969, 0.0220144, 0.007849, 0.0357025, 2.8, 0.106497
0.75, 1.04954, 0.027579, 1.19951, 0.0293014, 0.0102933, 0.0407499, 3, 0.100949
0.8, 1.1993, 0.0360348, 1.35926, 0.0382517, 0.0132155, 0.0456755, 3.2, 0.0985107
0.85, 1.35898, 0.046249, 1.52892, 0.0491017, 0.0166584, 0.0506515, 3.4, 0.0995203
0.9, 1.52854, 0.0584927, 1.70845, 0.0621264, 0.0206713, 0.0557642, 3.6, 0.102254
0.95, 1.70795, 0.0730491, 1.89781, 0.0776147, 0.0252996, 0.0609364, 3.8, 0.103444
1, 1.89718, 0.0901808, 2.09698, 0.0958577, 0.0305792, 0.0660427, 4, 0.102126
1.05, 2.09618, 0.110156, 2.3059, 0.117153, 0.0365383, 0.0710021, 4.2, 0.0991883
1.1, 2.30491, 0.133262, 2.52451, 0.141816, 0.0432024, 0.0758009, 4.4, 0.095976
1.15, 2.52331, 0.159816, 2.75275, 0.170179, 0.0505939, 0.080429, 4.6, 0.0925627
1.2, 2.7513, 0.190145, 2.99056, 0.202589, 0.0587308, 0.0848608, 4.8, 0.088636
1.25, 2.98882, 0.224587, 3.23783, 0.239404, 0.0676258, 0.089068, 5, 0.0841422
1.3, 3.23578, 0.263493, 3.49448, 0.280995, 0.077287, 0.0930303, 5.2, 0.079247
1.35, 3.49208, 0.307226, 3.7604, 0.327744, 0.0877181, 0.0967347, 5.4, 0.0740873
1.4, 3.75761, 0.356162, 4.03548, 0.380045, 0.0989188, 0.100174, 5.6, 0.068787
1.45, 4.03226, 0.410693, 4.31956, 0.438303, 0.110886, 0.103347, 5.8, 0.063451
1.5, 4.31588, 0.47122, 4.61252, 0.502933, 0.123612, 0.106251, 6, 0.0580813
1.55, 4.60832, 0.538155, 4.91418, 0.57436, 0.137087, 0.108888, 6.2, 0.0527486
1.6, 4.90942, 0.611921, 5.22436, 0.653018, 0.1513, 0.111265, 6.4, 0.0475317
1.65, 5.21899, 0.692952, 5.54287, 0.73935, 0.166235, 0.113391, 6.6, 0.0425315
1.7, 5.53684, 0.781692, 5.86948, 0.833807, 0.181879, 0.115282, 6.8, 0.0378241
1.75, 5.86275, 0.878594, 6.20397, 0.936847, 0.198215, 0.11695, 7, 0.0333585
1.8, 6.19647, 0.984119, 6.54608, 1.04894, 0.215226, 0.118408, 7.2, 0.0291541
1.85, 6.53774, 1.09873, 6.89552, 1.17054, 0.232895, 0.11967, 7.4, 0.0252422
1.9, 6.88628, 1.22291, 7.25201, 1.30215, 0.251205, 0.120758, 7.6, 0.0217556
1.95, 7.24179, 1.35714, 7.6152, 1.44423, 0.270141, 0.121684, 7.8, 0.0185284
2, 7.60393, 1.50189, 7.98477, 1.59727, 0.289687, 0.122466, 8, 0.0156322
2.05, 7.97236, 1.65766, 8.36033, 1.76176, 0.30983, 0.123132, 8.2, 0.0133293
2.1, 8.34668, 1.82494, 8.74148, 1.93818, 0.330555, 0.12368, 8.4, 0.0109541
2.15, 8.7265, 2.00422, 9.12779, 2.12703, 0.35185, 0.124128, 8.6, 0.00896343
2.2, 9.11137, 2.19599, 9.5188, 2.32879, 0.373706, 0.124501, 8.8, 0.00744899
2.25, 9.50083, 2.40074, 9.91404, 2.54393, 0.396108, 0.124782, 9, 0.00562892
2.3, 9.89439, 2.61892, 10.313, 2.77294, 0.419049, 0.125004, 9.2, 0.00444544
2.35, 10.2915, 2.8511, 10.7151, 3.01632, 0.442537, 0.125261, 9.4, 0.00512616
2.4, 10.6916, 3.09767, 11.1197, 3.27448, 0.466538, 0.125336, 9.6, 0.00149582
2.45, 11.0942, 3.35912, 11.5263, 3.54793, 0.491073, 0.125505, 9.8, 0.00339573
2.5, 11.4985, 3.63592, 11.9342, 3.83708, 0.51612, 0.125564, 10, 0.00116927
2.55, 11.904, 3.92846, 12.3428, 4.14235, 0.541674, 0.125596, 10.2, 0.000644132
2.6, 12.3099, 4.23721, 12.7512, 4.46418, 0.567745, 0.125672, 10.4, 0.00152678
2.65, 12.7155, 4.56254, 13.1589, 4.80292, 0.594307, 0.125622, 10.6, -0.00100447
2.7, 13.1201, 4.90489, 13.5648, 5.159, 0.621393, 0.125728, 10.8, 0.00211027
2.75, 13.5229, 5.26459, 13.9683, 5.53273, 0.648974, 0.1257, 11, -0.000559835
2.8, 13.9229, 5.64202, 14.3685, 5.92447, 0.677072, 0.12577, 11.2, 0.00140755
2.85, 14.3194, 6.03745, 14.7645, 6.33447, 0.70566, 0.125715, 11.4, -0.00110581
2.9, 14.7116, 6.45114, 15.1553, 6.76301, 0.734754, 0.12574, 11.6, 0.000497374
2.95, 15.0982, 6.88344, 15.5401, 7.21031, 0.764341, 0.125698, 11.8, -0.000827458
3, 15.4785, 7.33448, 15.9176, 7.6766, 0.794449, 0.125779, 12, 0.00161136
3.05, 15.8515, 7.80449, 16.2871, 8.16198, 0.825041, 0.125711, 12.2, -0.00135049
3.1, 16.216, 8.29355, 16.6474, 8.66657, 0.856137, 0.125715, 12.4, 8.06501e-05
3.15, 16.571, 8.80182, 16.9973, 9.19043, 0.887731, 0.125704, 12.6, -0.000230232
3.2, 16.9155, 9.32926, 17.3359, 9.73355, 0.919815, 0.125658, 12.8, -0.00092103
3.25, 17.2483, 9.87592, 17.6619, 10.2959, 0.952401, 0.125662, 13, 9.27544e-05
3.3, 17.5681, 10.4418, 17.974, 10.8774, 0.985505, 0.125724, 13.2, 0.00123767
3.35, 17.8739, 11.0266, 18.2713, 11.4779, 1.01908, 0.125596, 13.4, -0.00256922
3.4, 18.1645, 11.6303, 18.5523, 12.0971, 1.05317, 0.125672, 13.6, 0.00152083
3.45, 18.4385, 12.2526, 18.8159, 12.7347, 1.08775, 0.125609, 13.8, -0.0012555
3.5, 18.6948, 12.8932, 19.0608, 13.3905, 1.12284, 0.125681, 14, 0.00143809
3.55, 18.932, 13.5518, 19.2857, 14.0639, 1.15842, 0.125611, 14.2, -0.00139418
3.6, 19.1489, 14.2278, 19.4894, 14.7545, 1.19449, 0.125551, 14.4, -0.0012105
3.65, 19.3443, 14.9208, 19.6705, 15.4617, 1.23106, 0.12559, 14.6, 0.000779762
3.7, 19.5168, 15.6301, 19.8278, 16.1848, 1.26813, 0.125552, 14.8, -0.00075966
3.75, 19.6651, 16.355, 19.9599, 16.9231, 1.30571, 0.125611, 15, 0.00118169
3.8, 19.7879, 17.0949, 20.0642, 17.6658, 1.34328, 0.125561, 15, -0.00099941
3.85, 19.8829, 17.8388, 20.1405, 18.4119, 1.38088, 0.125671, 15, 0.0022004
3.9, 19.9499, 18.5857, 20.1886, 19.1603, 1.41849, 0.12569, 15, 0.000379595
3.95, 19.9889, 19.3347, 20.2086, 19.9101, 1.45607, 0.125596, 15, -0.00188061
4, 19.9998, 20.0845, 20.2005, 20.66, 1.49366, 0.125627, 15, 0.000627332
4.05, 19.9826, 20.8343, 20.164, 21.4091, 1.53128, 0.125717, 15, 0.00180029
4.1, 19.9373, 21.5829, 20.0995, 22.1564, 1.56887, 0.125636, 15, -0.00162095
4.15, 19.8639, 22.3293, 20.007, 22.9006, 1.60644, 0.125573, 15, -0.00125864
4.2, 19.7626, 23.0723, 19.8866, 23.6409, 1.64402, 0.125578, 15, 0.00010004
4.25, 19.6335, 23.8111, 19.7386, 24.3762, 1.68156, 0.125456, 15, -0.00243531
4.3, 19.4769, 24.5445, 19.5631, 25.1053, 1.7191, 0.12547, 15, 0.000264607
4.35, 19.2928, 25.2715, 19.3603, 25.8274, 1.75664, 0.12548, 15, 0.00020237
4.4, 19.0816, 25.9911, 19.1306, 26.5414, 1.79417, 0.12543, 15, -0.000992764
4.45, 18.8436, 26.7023, 18.8743, 27.2462, 1.83167, 0.125323, 15, -0.00213464
4.5, 18.579, 27.4041, 18.5918, 27.941, 1.86918, 0.12537, 15, 0.000928507
4.55, 18.2883, 28.0954, 18.2834, 28.6246, 1.90669, 0.12536, 15, -0.000207016
4.6, 17.972, 28.7754, 17.9497, 29.2963, 1.94418, 0.125268, 15, -0.00183018
4.65, 17.6304, 29.443, 17.591, 29.955, 1.98164, 0.1252, 15, -0.00136405
4.7, 17.2639, 30.0974, 17.208, 30.5998, 2.0191, 0.125215, 15, 0.000297018
4.75, 16.8733, 30.7375, 16.8011, 31.2298, 2.05654, 0.125107, 15, -0.00215291
4.8, 16.4588, 31.3625, 16.3709, 31.8441, 2.094, 0.125201, 15, 0.00188677
4.85, 16.0213, 31.9716, 15.918, 32.442, 2.13141, 0.125032, 15, -0.003385
4.9, 15.5612, 32.5639, 15.4431, 33.0225, 2.16887, 0.125172, 15, 0.00279475
4.95, 15.0791, 33.1384, 14.9468, 33.5848, 2.20628, 0.125045, 15, -0.00253021
5, 14.576, 33.6945, 14.4298, 34.1281, 2.24369, 0.125005, 15, -0.000813032
5.05, 14.0523, 34.2314, 13.8929, 34.6518, 2.28111, 0.125058, 15, 0.00105958
5.1, 13.5089, 34.7483, 13.3367, 35.155, 2.31851, 0.124995, 15, -0.00125239
5.15, 12.9465, 35.2443, 12.7622, 35.637, 2.35592, 0.12505, 15, 0.00109744
5.2, 12.3658, 35.719, 12.17, 36.0973, 2.39332, 0.12498, 15, -0.00138928
5.25, 11.7678, 36.1716, 11.5611, 36.5351, 2.43069, 0.124889, 15, -0.00183811
5.3, 11.1532, 36.6014, 10.9362, 36.9499, 2.46807, 0.12493, 15, 0.000820841
5.35, 10.523, 37.0079, 10.2962, 37.341, 2.50544, 0.124888, 15, -0.000839347
5.4, 9.8779, 37.3904, 9.64214, 37.7079, 2.54282, 0.124914, 15, 0.000534719
5.45, 9.21896, 37.7485, 8.9748, 38.0502, 2.58018, 0.124853, 15, -0.00123722
5.5, 8.54705, 38.0817, 8.29516, 38.3674, 2.61752, 0.124792, 15, -0.00120348
5.55, 7.86315, 38.3894, 7.60412, 38.6589, 2.6549, 0.124929, 15, 0.00272505
5.6, 7.16817, 38.6713, 6.90268, 38.9244, 2.69226, 0.124851, 15, -0.00156053
5.65, 6.46309, 38.9269, 6.19184, 39.1635, 2.72959, 0.124788, 15, -0.00124445
5.7, 5.74894, 39.1559, 5.47257, 39.376, 2.76693, 0.124764, 15, -0.000487973
5.75, 5.02673, 39.358, 4.74586, 39.5615, 2.80426, 0.124753, 15, -0.000217429
5.8, 4.29742, 39.5328, 4.01274, 39.7197, 2.84161, 0.124829, 15, 0.00151111
5.85, 3.56207, 39.6802, 3.27422, 39.8504, 2.87894, 0.124752, 15, -0.0015386
5.9, 2.82172, 39.7999, 2.53134, 39.9535, 2.91627, 0.12478, 15, 0.000556922
5.95, 2.0774, 39.8918, 1.78513, 40.0288, 2.95359, 0.124719, 15, -0.00120277
6, 1.33016, 39.9557, 1.03663, 40.0762, 2.99092, 0.124764, 15, 0.000897008
6.05, 0.581042, 39.9915, 0.28688, 40.0956, 3.02827, 0.124823, 15, 0.00117967
6.1, -0.168891, 39.9993, -0.46307, 40.087, 3.06561, 0.124781, 15, -0.000836843
6.15, -0.918585, 39.9789, -1.21218, 40.0505, 3.10292, 0.124703, 15, -0.00156741
6.2, -1.66699, 39.9304, -1.9594, 39.986, 3.14025, 0.124738, 15, 0.000698437
6.25, -2.41305, 39.8539, -2.7037, 39.8937, 3.17757, 0.124735, 15, -5.30876e-05
6.3, -3.15572, 39.7495, -3.44404, 39.7737, 3.21489, 0.124717, 15, -0.000362295
6.35, -3.89394, 39.6173, -4.17936, 39.6261, 3.25225, 0.124841, 15, 0.0024842
6.4, -4.62671, 39.4575, -4.90868, 39.4511, 3.28957, 0.124739, 15, -0.00204928
6.45, -5.35296, 39.2704, -5.63096, 39.2491, 3.3269, 0.124747, 15, 0.0001588
6.5, -6.07168, 39.0561, -6.3452, 39.0203, 3.36422, 0.124735, 15, -0.000230861
6.55, -6.78185, 38.8151, -7.05038, 38.7649, 3.40158, 0.124846, 15, 0.0022153
6.6, -7.4825, 38.5476, -7.74555, 38.4834, 3.43891, 0.124759, 15, -0.001751
6.65, -8.17263, 38.254, -8.42973, 38.1762, 3.47624, 0.124777, 15, 0.000362053
6.7, -8.85128, 37.9348, -9.10195, 37.8436, 3.51358, 0.124783, 15, 0.000128822
6.75, -9.51744, 37.5903, -9.7613, 37.4862, 3.55092, 0.12477, 15, -0.000263281
6.8, -10.1703, 37.2211, -10.4068, 37.1044, 3.58825, 0.124777, 15, 0.00015096
6.85, -10.8088, 36.8277, -11.0377, 36.6987, 3.62559, 0.124795, 15, 0.000343231
6.9, -11.4321, 36.4106, -11.6529, 36.2698, 3.66294, 0.124806, 15, 0.000230342
6.95, -12.0393, 35.9705, -12.2518, 35.8182, 3.70026, 0.124733, 15, -0.00145666
7, -12.6296, 35.5078, -12.8333, 35.3446, 3.73762, 0.124846, 15, 0.00225568
7.05, -13.2022, 35.0235, -13.3967, 34.8496, 3.77497, 0.124819, 15, -0.000541045
7.1, -13.7561, 34.5178, -13.9413, 34.3339, 3.81232, 0.124832, 15, 0.000261809
