t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.00999688, 0.000249974, 9.99896e-05, 0.025, 0.2, 0.5
0.1, 0.0040714, 0.00499646, 0.0299718, 0.00125155, 0.000499823, 0.05, 0.4, 0.5
0.15, 0.01245, 0.0152788, 0.0598863, 0.0035144, 0.00139898, 0.075, 0.6, 0.5
0.2, 0.0253678, 0.0311316, 0.0996809, 0.00756341, 0.00299631, 0.1, 0.8, 0.5
0.25, 0.0430557, 0.0528384, 0.149272, 0.0139458, 0.00548981, 0.125, 1, 0.5
0.3, 0.0657462, 0.0806843, 0.208548, 0.0232376, 0.00907632, 0.15, 1.2, 0.5
0.35, 0.0936745, 0.114958, 0.277365, 0.0360503, 0.0139514, 0.175, 1.4, 0.5
0.4, 0.12708, 0.155954, 0.355541, 0.0530361, 0.0203088, 0.2, 1.6, 0.5
0.45, 0.166208, 0.203971, 0.442847, 0.0748932, 0.0283406, 0.225, 1.8, 0.5
0.5, 0.211305, 0.259315, 0.538998, 0.102369, 0.0382368, 0.25, 2, 0.5
0.55, 0.262622, 0.322292, 0.643646, 0.136265, 0.0501848, 0.275, 2.2, 0.5
0.6, 0.32041, 0.393209, 0.756363, 0.177433, 0.0643698, 0.3, 2.4, 0.5
0.65, 0.384913, 0.472367, 0.876632, 0.226782, 0.0809738, 0.325, 2.6, 0.5
0.7, 0.456367, 0.560055, 1.00383, 0.285268, 0.100176, 0.35, 2.8, 0.5
0.75, 0.534991, 0.656541, 1.13721, 0.353892, 0.122152, 0.375, 3, 0.5
0.8, 0.620975, 0.762058, 1.27589, 0.433691, 0.147075, 0.4, 3.2, 0.5
0.85, 0.714472, 0.876795, 1.41882, 0.525726, 0.175113, 0.425, 3.4, 0.5
0.9, 0.815583, 1.00087, 1.56479, 0.63106, 0.206431, 0.45, 3.6, 0.5
0.95, 0.924341, 1.13434, 1.71235, 0.750742, 0.241188, 0.475, 3.8, 0.5
1, 1.04069, 1.27711, 1.85989, 0.885775, 0.279542, 0.5, 4, 0.5
1.05, 1.16448, 1.42901, 2.00551, 1.03708, 0.321644, 0.525, 4.2, 0.5
1.1, 1.2954, 1.58966, 2.14709, 1.20547, 0.367641, 0.55, 4.4, 0.5
1.15, 1.43301, 1.75852, 2.28226, 1.39156, 0.417674, 0.575, 4.6, 0.5
1.2, 1.57667, 1.93479, 2.4156, 1.59111, 0.468996, 0.564039, 4.8, -0.219213
1.25, 1.72614, 2.11819, 2.54898, 1.80256, 0.520327, 0.539039, 5, -0.5
1.3, 1.8814, 2.30868, 2.68186, 2.02604, 0.571463, 0.514039, 5.2, -0.5
1.35, 2.0423, 2.50608, 2.81374, 2.26164, 0.622199, 0.489039, 5.4, -0.5
1.4, 2.20869, 2.71021, 2.94416, 2.50941, 0.672327, 0.464039, 5.6, -0.5
1.45, 2.38041, 2.92086, 3.07276, 2.76934, 0.721635, 0.439039, 5.8, -0.5
1.5, 2.5573, 3.13785, 3.19922, 3.04138, 0.769912, 0.414039, 6, -0.5
1.55, 2.73923, 3.36101, 3.32331, 3.32546, 0.816945, 0.389039, 6.2, -0.5
1.6, 2.92607, 3.59017, 3.44492, 3.62145, 0.86252, 0.364039, 6.4, -0.5
1.65, 3.11772, 3.8252, 3.56401, 3.92921, 0.90642, 0.339039, 6.6, -0.5
1.7, 3.31408, 4.066, 3.68071, 4.24856, 0.948431, 0.314039, 6.8, -0.5
1.75, 3.51512, 4.31251, 3.79522, 4.5793, 0.988336, 0.289039, 7, -0.5
1.8, 3.72083, 4.56473, 3.90793, 4.9212, 1.02592, 0.264039, 7.2, -0.5
1.85, 3.93125, 4.82269, 4.01933, 5.27403, 1.06096, 0.239039, 7.4, -0.5
1.9, 4.14647, 5.0865, 4.1301, 5.63753, 1.09325, 0.214039, 7.6, -0.5
1.95, 4.36662, 5.35632, 4.24107, 6.01141, 1.12256, 0.189039, 7.8, -0.5
2, 4.5919, 5.63238, 4.35322, 6.39536, 1.14869, 0.164039, 8, -0.5
2.05, 4.82255, 5.91499, 4.46774, 6.78904, 1.17142, 0.139039, 8.2, -0.5
2.1, 5.05886, 6.20449, 4.58596, 7.19206, 1.19053, 0.114039, 8.4, -0.5
2.15, 5.30119, 6.50131, 4.70942, 7.60396, 1.20583, 0.0890394, 8.6, -0.5
2.2, 5.54992, 6.80591, 4.83984, 8.02418, 1.21709, 0.0640394, 8.8, -0.5
2.25, 5.80547, 7.11879, 4.97911, 8.45209, 1.22412, 0.0390394, 9, -0.5
2.3, 6.06827, 7.44049, 5.12932, 8.88687, 1.2267, 0.0140394, 9.2, -0.5
2.35, 6.33877, 7.77154, 5.29271, 9.32756, 1.22464, -0.0109606, 9.4, -0.5
2.4, 6.61739, 8.11244, 5.4717, 9.77294, 1.21774, -0.0359606, 9.6, -0.5
2.45, 6.9045, 8.46364, 5.66882, 10.2215, 1.2058, -0.0609606, 9.8, -0.5
2.5, 7.20041, 8.82549, 5.88674, 10.6716, 1.18863, -0.0859606, 10, -0.5
2.55, 7.50531, 9.19821, 6.12816, 11.1208, 1.16604, -0.110961, 10.2, -0.5
2.6, 7.8192, 9.58181, 6.39584, 11.5666, 1.13784, -0.135961, 10.4, -0.5
2.65, 8.14192, 9.97605, 6.69243, 12.0058, 1.10387, -0.160961, 10.6, -0.5
2.7, 8.473, 10.3804, 7.02047, 12.4348, 1.06393, -0.185961, 10.8, -0.5
2.75, 8.81166, 10.7938, 7.38223, 12.8491, 1.01786, -0.210961, 11, -0.5
2.8, 9.1567, 11.2148, 7.7747, 13.2485, 0.968186, -0.22363, 11.2, -0.25339
2.85, 9.50686, 11.6418, 8.18595, 13.6432, 0.922143, -0.203341, 11.4, 0.405782
2.9, 9.86229, 12.0751, 8.61277, 14.0359, 0.880987, -0.178341, 11.6, 0.5
2.95, 10.2231, 12.5147, 9.05335, 14.4283, 0.84494, -0.153341, 11.8, 0.5
3, 10.5893, 12.9607, 9.50577, 14.8224, 0.814223, -0.128341, 12, 0.5
3.05, 10.9613, 13.4133, 9.96802, 15.2205, 0.789052, -0.103341, 12.2, 0.5
3.1, 11.3392, 13.873, 10.4379, 15.6249, 0.769644, -0.0783411, 12.4, 0.5
3.15, 11.7234, 14.3401, 10.9131, 16.0386, 0.756208, -0.0533411, 12.6, 0.5
3.2, 12.1144, 14.8151, 11.3909, 16.4644, 0.748954, -0.0283411, 12.8, 0.5
3.25, 12.5125, 15.2984, 11.8684, 16.9053, 0.748085, -0.00334106, 13, 0.5
3.3, 12.9181, 15.7905, 12.3424, 17.3647, 0.753803, 0.0216589, 13.2, 0.5
3.35, 13.3314, 16.2914, 12.809, 17.8455, 0.766303, 0.0466589, 13.4, 0.5
3.4, 13.7523, 16.8013, 13.2719, 18.3436, 0.781456, 0.0557405, 13.6, 0.18163
3.45, 14.1804, 17.3195, 13.735, 18.8551, 0.796223, 0.0535297, 13.8, -0.0442147
3.5, 14.6154, 17.8454, 14.2012, 19.3773, 0.809009, 0.0456795, 14, -0.157005
3.55, 15.057, 18.3789, 14.6725, 19.9083, 0.819199, 0.0358872, 14.2, -0.195846
3.6, 15.5052, 18.9199, 15.1501, 20.4471, 0.826789, 0.0263567, 14.4, -0.19061
3.65, 15.96, 19.4683, 15.6346, 20.9931, 0.832109, 0.0182201, 14.6, -0.162732
3.7, 16.4214, 20.0241, 16.1263, 21.5461, 0.835629, 0.0118929, 14.8, -0.126544
3.75, 16.8894, 20.5872, 16.6253, 22.1061, 0.837835, 0.00735322, 15, -0.0907939
3.8, 17.364, 21.1577, 17.1248, 22.6655, 0.839067, 0.00410627, 15, -0.064939
3.85, 17.839, 21.7279, 17.6248, 23.2246, 0.839664, 0.00199061, 15, -0.0423133
3.9, 18.3142, 22.2978, 18.1251, 23.7832, 0.83989, 0.000753718, 15, -0.0247378
3.95, 18.7898, 22.8674, 18.6257, 24.3417, 0.83993, 0.000134394, 15, -0.0123865
4, 19.2658, 23.4367, 19.1264, 24.9001, 0.839902, -9.37738e-05, 15, -0.00456335
4.05, 19.7421, 24.0057, 19.6271, 25.4585, 0.839871, -0.000105336, 15, -0.000231253
4.1, 20.2188, 24.5744, 20.1278, 26.0169, 0.839864, -2.20439e-05, 15, 0.00166585
4.15, 20.6959, 25.1428, 20.6284, 26.5754, 0.839888, 7.97031e-05, 15, 0.00203494
4.2, 21.1733, 25.7109, 21.129, 27.1339, 0.839935, 0.000158218, 15, 0.0015703
4.25, 21.6512, 26.2787, 21.6295, 27.6924, 0.839994, 0.000195861, 15, 0.000752864
4.3, 22.1295, 26.8462, 22.13, 28.251, 0.840051, 0.00018996, 15, -0.00011802
4.35, 22.6082, 27.4133, 22.6305, 28.8096, 0.840095, 0.000145908, 15, -0.000881049
4.4, 23.0873, 27.9801, 23.131, 29.3682, 0.840117, 7.24131e-05, 15, -0.00146989
4.45, 23.5669, 28.5465, 23.6316, 29.9267, 0.84011, -2.14291e-05, 15, -0.00187684
4.5, 24.0469, 29.1125, 24.1322, 30.4852, 0.840072, -0.000127699, 15, -0.0021254
4.55, 24.5274, 29.6782, 24.6329, 31.0436, 0.84, -0.000240273, 15, -0.00225149
4.6, 25.0083, 30.2435, 25.1336, 31.6019, 0.839893, -0.000354875, 15, -0.00229203
4.65, 25.4897, 30.8084, 25.6346, 32.1601, 0.839753, -0.000468819, 15, -0.00227889
4.7, 25.9716, 31.373, 26.1356, 32.7181, 0.839579, -0.000580647, 15, -0.00223655
4.75, 26.4539, 31.9371, 26.6368, 33.276, 0.839372, -0.000689748, 15, -0.00218203
4.8, 26.9367, 32.5008, 27.1382, 33.8338, 0.839133, -0.000796046, 15, -0.00212595
4.85, 27.4201, 33.0641, 27.6398, 34.3914, 0.838863, -0.00089975, 15, -0.0020741
4.9, 27.9039, 33.627, 28.1416, 34.9488, 0.838563, -0.00100119, 15, -0.00202885
4.95, 28.3883, 34.1894, 28.6436, 35.506, 0.838232, -0.00110072, 15, -0.00199053
5, 28.8732, 34.7514, 29.1459, 36.063, 0.837873, -0.00119864, 15, -0.00195833
5.05, 29.3587, 35.313, 29.6484, 36.6198, 0.837484, -0.00129519, 15, -0.00193099
5.1, 29.8446, 35.8741, 30.1512, 37.1763, 0.837067, -0.00139055, 15, -0.00190721
5.15, 30.3312, 36.4347, 30.6542, 37.7326, 0.836622, -0.00148484, 15, -0.00188585
5.2, 30.8183, 36.9949, 31.1576, 38.2886, 0.836148, -0.00157814, 15, -0.00186603
5.25, 31.3059, 37.5546, 31.6612, 38.8443, 0.835647, -0.0016705, 15, -0.00184715
