t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 0, 0, 0.00999998, 1.80426e-05, 7.21703e-06, 0.00180426, 0.2, 0.0360852
0.1, 0.01, 3.60961e-05, 0.0299999, 7.23744e-05, 2.8892e-05, 0.00270938, 0.4, 0.0181024
0.15, 0.0300002, 0.000108542, 0.0599998, 0.000168251, 6.68958e-05, 0.00316699, 0.6, 0.00915213
0.2, 0.0600003, 0.000218795, 0.0999995, 0.000307769, 0.000121633, 0.00342108, 0.8, 0.00508187
0.25, 0.100001, 0.000371421, 0.149999, 0.000495004, 0.000194094, 0.00362308, 1, 0.00403999
0.3, 0.150001, 0.000576943, 0.209999, 0.000739893, 0.000287392, 0.0038874, 1.2, 0.00528644
0.35, 0.21, 0.000855646, 0.279998, 0.0010623, 0.000408308, 0.00431843, 1.4, 0.00862066
0.4, 0.279999, 0.00124233, 0.359997, 0.00149683, 0.000569053, 0.00502332, 1.6, 0.0140978
0.45, 0.359997, 0.00179204, 0.449995, 0.00209862, 0.000789283, 0.00611754, 1.8, 0.0218843
0.5, 0.449993, 0.00258665, 0.549991, 0.0029502, 0.00109835, 0.00772667, 2, 0.0321827
0.55, 0.549986, 0.00374091, 0.659984, 0.00416393, 0.00153552, 0.00993581, 2.2, 0.0441828
0.6, 0.659974, 0.00536437, 0.779973, 0.00584783, 0.00213537, 0.0124974, 2.4, 0.0512312
0.65, 0.779955, 0.00753452, 0.909953, 0.00809981, 0.00292514, 0.0151884, 2.6, 0.053821
0.7, 0.909926, 0.0103223, 1.04992, 0.0110082, 0.00392474, 0.0178509, 2.8, 0.0532494
0.75, 1.04988, 0.0137914, 1.19988, 0.0146528, 0.00514712, 0.0203744, 3, 0.0504708
0.8, 1.19983, 0.0180208, 1.35982, 0.0191296, 0.00660856, 0.0228369, 3.2, 0.0492493
0.85, 1.35974, 0.0231303, 1.52973, 0.0245573, 0.00833045, 0.0253246, 3.4, 0.0497547
0.9, 1.52963, 0.029256, 1.70961, 0.0310739, 0.0103376, 0.0278808, 3.6, 0.0511233
0.95, 1.70949, 0.03654, 1.89945, 0.0388246, 0.0126527, 0.0304667, 3.8, 0.0517175
1, 1.89929, 0.0451145, 2.09924, 0.0479558, 0.0152938, 0.0330193, 4, 0.0510518
1.05, 2.09905, 0.0551141, 2.30897, 0.0586175, 0.018275, 0.0354978, 4.2, 0.0495702
1.1, 2.30873, 0.0666847, 2.52863, 0.0709685, 0.021609, 0.0378958, 4.4, 0.0479598
1.15, 2.52833, 0.0799854, 2.75819, 0.0851775, 0.0253072, 0.0402084, 4.6, 0.0462523
1.2, 2.75782, 0.0951827, 2.99764, 0.10142, 0.0293785, 0.0424226, 4.8, 0.0442836
1.25, 2.9972, 0.112448, 3.24695, 0.119879, 0.0338294, 0.0445236, 5, 0.0420213
1.3, 3.24644, 0.131959, 3.50612, 0.140743, 0.0386639, 0.0465019, 5.2, 0.0395649
1.35, 3.50552, 0.153903, 3.77509, 0.164207, 0.0438838, 0.0483515, 5.4, 0.0369929
1.4, 3.7744, 0.178473, 4.05386, 0.190475, 0.0494892, 0.0500689, 5.6, 0.0343468
1.45, 4.05305, 0.20587, 4.34238, 0.219756, 0.0554781, 0.0516522, 5.8, 0.0316668
1.5, 4.34145, 0.236301, 4.64061, 0.252266, 0.0618471, 0.0530997, 6, 0.0289509
1.55, 4.63956, 0.26998, 4.94852, 0.288225, 0.0685909, 0.054412, 6.2, 0.0262451
1.6, 4.94733, 0.307129, 5.26605, 0.327862, 0.0757034, 0.0555953, 6.4, 0.0236669
1.65, 5.26471, 0.347978, 5.59317, 0.371413, 0.0831779, 0.0566551, 6.6, 0.0211946
1.7, 5.59166, 0.392761, 5.9298, 0.419118, 0.0910064, 0.0575946, 6.8, 0.0187896
1.75, 5.92812, 0.44172, 6.2759, 0.471224, 0.099181, 0.0584231, 7, 0.016571
1.8, 6.27402, 0.495106, 6.6314, 0.527984, 0.107693, 0.059148, 7.2, 0.0144982
1.85, 6.62931, 0.553172, 6.99623, 0.589658, 0.116534, 0.0597731, 7.4, 0.012501
1.9, 6.99391, 0.616179, 7.3703, 0.65651, 0.125697, 0.0603129, 7.6, 0.0107975
1.95, 7.36773, 0.684398, 7.75354, 0.728813, 0.135172, 0.0607754, 7.8, 0.00924946
2, 7.75071, 0.758103, 8.14585, 0.806844, 0.144952, 0.0611645, 8, 0.00778094
2.05, 8.14273, 0.837571, 8.54715, 0.890885, 0.15503, 0.0614888, 8.2, 0.00648741
2.1, 8.54371, 0.923091, 8.95732, 0.981227, 0.1654, 0.0617651, 8.4, 0.00552507
2.15, 8.95354, 1.01496, 9.37625, 1.07816, 0.176054, 0.0619828, 8.6, 0.00435461
2.2, 9.37211, 1.11345, 9.80382, 1.18198, 0.186986, 0.0621542, 8.8, 0.00342799
2.25, 9.79929, 1.21889, 10.2399, 1.29301, 0.198194, 0.0623101, 9, 0.00311855
2.3, 10.2349, 1.3316, 10.6844, 1.41155, 0.209676, 0.0624378, 9.2, 0.0025528
2.35, 10.679, 1.45185, 11.1371, 1.5379, 0.221419, 0.0625037, 9.4, 0.00131783
2.4, 11.1311, 1.57999, 11.5978, 1.67241, 0.233432, 0.0626081, 9.6, 0.00208921
2.45, 11.5914, 1.71633, 12.0665, 1.81537, 0.245701, 0.0626427, 9.8, 0.000691775
