x,y
193.5,-5.64535
194,-6.45515
194.5,-7.32773
195,-8.2656
195.5,-9.27052
196,-10.3435
196.5,-11.4848
197,-12.6938
197.5,-13.9691
198,-15.3087
198.5,-16.7096
199,-18.1682
199.5,-19.68
200,-21.2402
200.5,-22.8428
201,-24.4818
201.5,-26.1502
202,-27.8409
202.5,-29.5462
203,-31.258
203.5,-32.9681
204,-34.6682
204.5,-36.3496
205,-38.0039
205.5,-39.6225
206,-41.1972
206.5,-42.7198
207,-44.1824
207.5,-45.5777
208,-46.8986
208.5,-48.1386
209,-49.2918
209.5,-50.3528
210,-51.317
210.5,-52.1804
211,-52.9399
211.5,-53.5931
212,-54.1382
212.5,-54.5747
213,-54.9023
213.5,-55.1221
214,-55.2356
214.5,-55.2452
215,-55.1541
215.5,-54.9662
216,-54.6861
216.5,-54.319
217,-53.8707
217.5,-53.3475
218,-52.7562
218.5,-52.104
219,-51.3984
219.5,-50.6471
220,-49.8579
220.5,-49.0389
221,-48.1981
221.5,-47.3433
222,-46.4823
222.5,-45.6227
223,-44.7717
223.5,-43.9361
224,-43.1223
224.5,-42.3362
225,-41.5832
225.5,-40.8679
226,-40.1945
226.5,-39.5663
227,-38.9859
227.5,-38.4551
228,-37.9752
228.5,-37.5464
229,-37.1683
229.5,-36.8396
230,-36.5583
230.5,-36.3218
231,-36.1265
231.5,-35.9685
232,-35.843
232.5,-35.7447
233,-35.6679
233.5,-35.6062
234,-35.5531
234.5,-35.5017
235,-35.4447
235.5,-35.3748
236,-35.2845
236.5,-35.1666
237,-35.0135
237.5,-34.8181
238,-34.5735
238.5,-34.2728
239,-33.91
239.5,-33.479
240,-32.9747
240.5,-32.3921
241,-31.7273
241.5,-30.9767
242,-30.1375
242.5,-29.2078
243,-28.1864
243.5,-27.0727
244,-25.8671
244.5,-24.5709
245,-23.186
245.5,-21.7151
246,-20.1618
246.5,-18.5303
247,-16.8256
247.5,-15.0533
248,-13.2197
248.5,-11.3316
249,-9.39624
249.5,-7.42138
250,-5.41509
250.5,-3.38577
251,-1.34198
251.5,0.707549
252,2.75405
252.5,4.78878
253,6.8031
253.5,8.78858
254,10.737
254.5,12.6406
255,14.4918
255.5,16.2837
256,18.01
256.5,19.6647
257,21.2427
257.5,22.7396
258,24.1514
258.5,25.4754
259,26.7092
259.5,27.8514
260,28.9014
260.5,29.8594
261,30.7264
261.5,31.5042
262,32.1953
262.5,32.8029
263,33.3309
263.5,33.7841
264,34.1674
264.5,34.4867
265,34.748
265.5,34.9579
266,35.1233
266.5,35.2513
267,35.3493
267.5,35.4247
268,35.485
268.5,35.5374
269,35.5892
269.5,35.6475
270,35.7189
270.5,35.8099
271,35.9264
271.5,36.0738
272,36.2571
272.5,36.4804
273,36.7475
273.5,37.0613
274,37.424
274.5,37.837
275,38.3011
275.5,38.8162
276,39.3813
276.5,39.995
277,40.6548
277.5,41.3575
278,42.0993
278.5,42.8756
279,43.6815
279.5,44.511
280,45.358
280.5,46.2157
281,47.077
281.5,47.9345
282,48.7805
282.5,49.6071
283,50.4064
283.5,51.1703
284,51.8909
284.5,52.5604
285,53.1714
285.5,53.7164
286,54.1886
286.5,54.5815
287,54.8891
287.5,55.1061
288,55.2276
288.5,55.2495
289,55.1685
289.5,54.9819
290,54.6877
290.5,54.285
291,53.7735
291.5,53.1536
292,52.4268
292.5,51.5953
293,50.6619
293.5,49.6304
294,48.5052
294.5,47.2915
295,45.995
295.5,44.622
296,43.1794
296.5,41.6746
297,40.1152
297.5,38.5093
298,36.8652
298.5,35.1912
299,33.496
299.5,31.7881
300,30.0759
300.5,28.3678
301,26.6717
301.5,24.9956
302,23.3468
302.5,21.7321
303,20.1582
303.5,18.6308
304,17.1553
304.5,15.7361
305,14.3772
305.5,13.0817
306,11.8519
306.5,10.6896
307,9.59546
307.5,8.56954
308,7.61107
308.5,6.7185
309,5.88958
309.5,5.12128
310,4.40993
310.5,3.75121
311,3.14023
311.5,2.57154
312,2.03925
312.5,1.53704
313,1.05829
313.5,0.596094
314,0.143378
314.5,-0.307042
315,-0.762372
315.5,-1.22977
316,-1.71625
316.5,-2.22862
317,-2.77341
317.5,-3.35679
318,-3.9845
318.5,-4.66178
319,-5.39333
319.5,-6.18324
320,-7.03496
320.5,-7.95122
321,-8.93403
321.5,-9.98467
322,-11.1036
322.5,-12.2905
323,-13.5443
323.5,-14.8632
324,-16.2444
324.5,-17.6845
325,-19.1795
325.5,-20.7244
326,-22.3138
326.5,-23.9416
327,-25.6012
327.5,-27.2854
328,-28.9867
328.5,-30.6973
329,-32.4089
329.5,-34.1132
330,-35.8017
330.5,-37.4658
331,-39.097
331.5,-40.687
332,-42.2275
332.5,-43.7106
333,-45.1287
333.5,-46.4747
334,-47.7419
334.5,-48.9241
335,-50.0158
335.5,-51.0122
336,-51.909
336.5,-52.7028
337,-53.391
337.5,-53.9717
338,-54.4438
338.5,-54.807
339,-55.062
339.5,-55.21
340,-55.2533
340.5,-55.1948
341,-55.0381
341.5,-54.7877
342,-54.4484
342.5,-54.026
343,-53.5266
343.5,-52.9569
344,-52.3238
344.5,-51.6348
345,-50.8976
345.5,-50.1199
346,-49.3098
346.5,-48.4753
347,-47.6242
347.5,-46.7644
348,-45.9036
348.5,-45.049
349,-44.2076
349.5,-43.3859
350,-42.5902
350.5,-41.8258
351,-41.0977
351.5,-40.4102
352,-39.7668
352.5,-39.1705
353,-38.6234
353.5,-38.1267
354,-37.6812
354.5,-37.2866
355,-36.9419
355.5,-36.6453
356,-36.3945
356.5,-36.1861
357,-36.0164
357.5,-35.8808
358,-35.7742
358.5,-35.691
359,-35.6251
359.5,-35.57
360,-35.5188
360.5,-35.4644
361,-35.3995
361.5,-35.3168
362,-35.2087
362.5,-35.0679
363,-34.8872
363.5,-34.6594
364,-34.3778
364.5,-34.036
365,-33.628
365.5,-33.1482
366,-32.5918
366.5,-31.9543
367,-31.2321
367.5,-30.4222
368,-29.5223
368.5,-28.5309
369,-27.4475
369.5,-26.2719
370,-25.0052
370.5,-23.649
371,-22.2059
371.5,-20.6792
372,-19.0728
372.5,-17.3914
373,-15.6406
373.5,-13.8264
374,-11.9554
374.5,-10.0346
375,-8.07183
375.5,-6.07493
376,-4.05221
376.5,-2.0122
377,0.0364144
377.5,2.08487
378,4.12441
378.5,6.14636
379,8.14219
379.5,10.1036
380,12.0227
380.5,13.8919
381,15.704
381.5,17.4524
382,19.1311
382.5,20.7348
383,22.2587
383.5,23.6987
384,25.0517
384.5,26.3152
385,27.4875
385.5,28.5677
386,29.5558
386.5,30.4525
387,31.2592
387.5,31.9784
388,32.6129
388.5,33.1665
389,33.6437
389.5,34.0493
390,34.3888
390.5,34.6684
391,34.8944
391.5,35.0736
392,35.2131
392.5,35.3201
393,35.4021
393.5,35.4665
394,35.5206
394.5,35.5718
395,35.6272
395.5,35.6937
396,35.7776
396.5,35.8851
397,36.0218
397.5,36.1929
398,36.4026
398.5,36.6551
399,36.9533
399.5,37.2997
400,37.6962
400.5,38.1435
401,38.6419
401.5,39.1909
402,39.7889
402.5,40.4338
403,41.1229
403.5,41.8523
404,42.6179
404.5,43.4147
405,44.2372
