t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 3.99336, 0.199835, 0.01, 0, 6.24237e-05, 0.0156046, 0.2, 0.312093
0.1, 4.00326, 0.20083, 0.03, 1.24847e-06, 0.000281411, 0.0273666, 0.4, 0.235238
0.15, 4.02306, 0.202826, 0.06, 9.6908e-06, 0.000716915, 0.0362761, 0.6, 0.17819
0.2, 4.05276, 0.20584, 0.1, 3.83674e-05, 0.00140627, 0.043058, 0.8, 0.135638
0.25, 4.09235, 0.209892, 0.15, 0.000108681, 0.00237192, 0.0482451, 1, 0.103741
0.3, 4.14183, 0.215012, 0.21, 0.000250996, 0.00362659, 0.0522305, 1.2, 0.0797082
0.35, 4.2012, 0.221237, 0.279999, 0.000504857, 0.00517674, 0.0553058, 1.4, 0.0615059
0.4, 4.27044, 0.228612, 0.359998, 0.000918994, 0.0070248, 0.057688, 1.6, 0.0476448
0.45, 4.34957, 0.237188, 0.449996, 0.00155122, 0.00917076, 0.0595395, 1.8, 0.0370303
0.5, 4.43856, 0.247023, 0.549992, 0.00246828, 0.0116131, 0.0609822, 2, 0.0288542
0.55, 4.53741, 0.258185, 0.659984, 0.00374569, 0.0143494, 0.0621081, 2.2, 0.0225174
0.6, 4.64612, 0.270746, 0.779972, 0.00546756, 0.0173767, 0.0629868, 2.4, 0.0175743
0.65, 4.76466, 0.284789, 0.909952, 0.00772642, 0.0206921, 0.0636714, 2.6, 0.0136917
0.7, 4.89304, 0.300401, 1.04992, 0.0106231, 0.0242924, 0.0642024, 2.8, 0.0106196
0.75, 5.03124, 0.317678, 1.19988, 0.0142666, 0.0281745, 0.0646109, 3, 0.00816988
0.8, 5.17925, 0.336724, 1.35981, 0.0187739, 0.0323352, 0.0649209, 3.2, 0.00620002
0.85, 5.33704, 0.357648, 1.52973, 0.02427, 0.0367718, 0.065151, 3.4, 0.00460165
0.9, 5.5046, 0.380569, 1.7096, 0.0308874, 0.0414812, 0.0653156, 3.6, 0.00329217
0.95, 5.68192, 0.405609, 1.89944, 0.0387666, 0.0464607, 0.065426, 3.8, 0.00220871
1, 5.86897, 0.432903, 2.09922, 0.0480554, 0.0517075, 0.0654912, 4, 0.00130381
1.05, 6.06573, 0.462589, 2.30894, 0.0589091, 0.0572189, 0.0655183, 4.2, 0.000541495
