t,x_ref,y_ref,x,y,psi,delta,v,delta_dot
0.05, 3.88199, 0.964417, 0.01, 0, 0.000100021, 0.025, 0.2, 0.5
0.1, 3.89143, 0.96673, 0.03, 2.00042e-06, 0.000500355, 0.05, 0.4, 0.5
0.15, 3.91029, 0.971357, 0.06, 1.70111e-05, 0.00140205, 0.075, 0.6, 0.5
0.2, 3.93859, 0.978297, 0.1, 7.30929e-05, 0.0030074, 0.1, 0.8, 0.5
0.25, 3.97634, 0.987549, 0.15, 0.000223463, 0.0055205, 0.125, 1, 0.5
0.3, 4.02354, 0.999114, 0.209999, 0.000554691, 0.00914775, 0.15, 1.2, 0.5
0.35, 4.08022, 1.01299, 0.279996, 0.00119502, 0.0140984, 0.175, 1.4, 0.5
0.4, 4.14641, 1.02919, 0.359988, 0.00232286, 0.0205851, 0.2, 1.6, 0.5
0.45, 4.22215, 1.04771, 0.449969, 0.00417539, 0.0288246, 0.225, 1.8, 0.5
0.5, 4.30748, 1.06856, 0.549927, 0.00705745, 0.0390383, 0.25, 2, 0.5
0.55, 4.40248, 1.09175, 0.659844, 0.0113506, 0.0514528, 0.275, 2.2, 0.5
0.6, 4.50722, 1.11729, 0.779685, 0.0175222, 0.0650218, 0.275498, 2.4, 0.00995054
0.65, 4.62176, 1.14518, 0.90941, 0.0259691, 0.0793462, 0.268802, 2.6, -0.133904
0.7, 4.74618, 1.17544, 1.04897, 0.0370659, 0.0942211, 0.259629, 2.8, -0.183467
0.75, 4.88051, 1.20805, 1.1983, 0.0511781, 0.109493, 0.249239, 3, -0.207797
0.8, 5.02479, 1.24302, 1.35735, 0.068662, 0.125019, 0.237991, 3.2, -0.224965
0.85, 5.17903, 1.28033, 1.52602, 0.0898599, 0.140655, 0.226011, 3.4, -0.239606
0.9, 5.34325, 1.31997, 1.70424, 0.115094, 0.156255, 0.213372, 3.6, -0.252781
0.95, 5.51744, 1.36192, 1.89193, 0.144662, 0.171672, 0.200141, 3.8, -0.264603
1, 5.70159, 1.40617, 2.08899, 0.178828, 0.186759, 0.186395, 4, -0.274932
1.05, 5.89569, 1.45267, 2.29534, 0.21782, 0.201369, 0.172216, 4.2, -0.283578
1.1, 6.09971, 1.5014, 2.51089, 0.261822, 0.215363, 0.157699, 4.4, -0.29034
1.15, 6.31362, 1.55232, 2.73558, 0.310974, 0.228605, 0.142948, 4.6, -0.295016
1.2, 6.53737, 1.60539, 2.96933, 0.365362, 0.240968, 0.128077, 4.8, -0.297423
1.25, 6.77094, 1.66058, 3.21211, 0.425023, 0.252337, 0.113205, 5, -0.297436
1.3, 7.01428, 1.71784, 3.45419, 0.48744, 0.262214, 0.0984555, 5, -0.294993
1.35, 7.25763, 1.77485, 3.69565, 0.552245, 0.270671, 0.0843702, 5, -0.281705
1.4, 7.50097, 1.83159, 3.93654, 0.619089, 0.277795, 0.0711122, 5, -0.26516
1.45, 7.74429, 1.88805, 4.17696, 0.687648, 0.283674, 0.0587296, 5, -0.247653
1.5, 7.98757, 1.94423, 4.41697, 0.75762, 0.288401, 0.0472305, 5, -0.229981
1.55, 8.23082, 2.00011, 4.65664, 0.828724, 0.292063, 0.0366068, 5, -0.212475
1.6, 8.47405, 2.05569, 4.89606, 0.900707, 0.294748, 0.0268423, 5, -0.195289
1.65, 8.71727, 2.11097, 5.13528, 0.973331, 0.29654, 0.0179152, 5, -0.178543
1.7, 8.96049, 2.16593, 5.37436, 1.04638, 0.29752, 0.00979719, 5, -0.162359
1.75, 9.20373, 2.22058, 5.61338, 1.11967, 0.297765, 0.00245591, 5, -0.146826
1.8, 9.447, 2.2749, 5.85238, 1.19302, 0.297351, -0.00414238, 5, -0.131966
1.85, 9.6903, 2.3289, 6.09141, 1.26627, 0.296348, -0.0100327, 5, -0.117806
1.9, 9.93366, 2.38256, 6.33051, 1.33927, 0.294822, -0.0152529, 5, -0.104404
1.95, 10.1771, 2.43589, 6.56972, 1.41192, 0.292838, -0.0198427, 5, -0.0917969
2, 10.4206, 2.48887, 6.80908, 1.48408, 0.290453, -0.0238421, 5, -0.0799877
2.05, 10.6642, 2.5415, 7.04861, 1.55568, 0.287723, -0.0272907, 5, -0.068971
2.1, 10.9079, 2.59378, 7.28833, 1.62662, 0.2847, -0.0302281, 5, -0.0587476
2.15, 11.1517, 2.64569, 7.52827, 1.69684, 0.281429, -0.0326937, 5, -0.0493121
2.2, 11.3956, 2.69722, 7.76843, 1.76627, 0.277955, -0.0347255, 5, -0.0406375
2.25, 11.6396, 2.74839, 8.00884, 1.83487, 0.274318, -0.0363602, 5, -0.0326932
